,trip_id,device_id,vehicle_type,trip_duration,trip_distance,start_time,end_time,modified_date,month,hour,day_of_week,council_district_start,council_district_end,year,census_geoid_start,census_geoid_end,start_time_us_central,end_time_us_central
227,d8389277-22f6-4473-a79e-cf7da147f5dc,d492a21d-8042-4f6c-b65d-243d316b6a38,scooter,188,791.8907811634293,2021-10-28T01:45:00.000,2021-10-28T01:45:00.000,2021-10-29T03:16:09.000,10,1,3,9,9,2021,48453001100,48453001100,2021-10-27T20:45:00.000,2021-10-27T20:45:00.000
228,1385e4bb-8ac3-4037-af7f-0495ccb5d7a5,76168fdf-b4fe-4ae6-b7e7-06585f6201ce,scooter,347,1342,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:15.000,10,0,3,9,9,2021,48453001305,48453001100,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
229,02a6d5e5-3b60-4d89-b5af-7f1ceafe807b,1e1c45e1-dce1-4b0d-9ecd-be18e6282f79,scooter,1093,5688.652448980158,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:17.000,10,0,3,3,3,2021,48453000902,48453002315,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
230,fcc7d799-f568-4707-b646-2ba2f9246486,147f2b75-8eed-4a85-87aa-9fd085a7c338,scooter,2041,10455.179303532905,2021-10-27T23:30:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:19.000,10,0,3,3,3,2021,48453000902,48453002316,2021-10-27T18:30:00.000,2021-10-27T19:00:00.000
231,d6c83112-9d32-41b4-8b93-5688f2c0eddc,a7060c97-2cac-4f0b-bb9c-d3ff44b49e27,scooter,205,677,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:27.000,10,0,3,9,9,2021,48453001100,48453001100,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
232,3a4b8d65-d22e-49c2-8efd-ee7932bc37fd,32332b3f-7a02-4594-b9cf-bfa4ce687628,scooter,658,2324,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:36.000,10,0,3,9,9,2021,48453001200,48453001200,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
233,29f27e8c-b8cf-4fda-a5c1-2c852c9b9d0b,591a662d-afe3-4a60-8ffb-58a3d300e73f,scooter,215,584,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:47.000,10,0,3,9,9,2021,48453000604,48453000604,2021-10-27T19:00:00.000,2021-10-27T19:00:00.000
234,85d70bfc-7c0d-436d-a164-f225ba92eabb,5665ec9b-8650-4a50-b1c5-e6d45a3d5e34,bicycle,640,1900,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:56.000,10,0,3,3,9,2021,48453001308,48453001401,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
235,017ff509-9c01-4328-a153-03aa4681df71,0185deb2-e376-4589-a035-e7eff74be5f7,scooter,408,1239,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:16:56.000,10,0,3,9,9,2021,48453000601,48453000604,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
236,3279bd5e-609d-4fe5-897f-6cb5ac4d1d33,5f3bfcb0-cf3e-4654-a001-1ee8d1dd099e,scooter,752,40,2021-10-27T23:45:00.000,2021-10-28T00:00:00.000,2021-10-29T01:17:03.000,10,0,3,9,9,2021,48453000700,48453000700,2021-10-27T18:45:00.000,2021-10-27T19:00:00.000
